Size:56961, Duration(usec):53913
Size:48602, Duration(usec):51554
Size:152517, Duration(usec):137201
Size:48742, Duration(usec):44250
Size:73841, Duration(usec):92930
Size:436987, Duration(usec):347421
Size:749494, Duration(usec):570760
Size:21630, Duration(usec):21907
Size:2512219, Duration(usec):3167361
Size:1896962, Duration(usec):3063966
Size:28432, Duration(usec):2758589
Size:10478, Duration(usec):362228
Size:1861328, Duration(usec):1518402
Size:55554, Duration(usec):625461
Size:21740, Duration(usec):25660
Size:4718048, Duration(usec):3903446
Size:592599, Duration(usec):1538635
Size:11302, Duration(usec):12661
Size:1553795, Duration(usec):1204619
Size:74, Duration(usec):3930
Size:4902, Duration(usec):6342
Size:3781362, Duration(usec):2770311
Size:4165940, Duration(usec):3122063
Size:223952, Duration(usec):1655224
Size:21497, Duration(usec):1047258
Size:595692, Duration(usec):961111
Size:535871, Duration(usec):1270334
Size:17730939, Duration(usec):20180331
Size:8851364, Duration(usec):16472520
Size:3898, Duration(usec):113421
Size:4822459, Duration(usec):17941616
Size:527077, Duration(usec):17269513
Size:5576341, Duration(usec):14940748
Size:6303, Duration(usec):13019954
Size:17252, Duration(usec):10419229
Size:29109, Duration(usec):3548586
Size:55982, Duration(usec):6757268
Size:25861, Duration(usec):5030490
Size:62129, Duration(usec):161822
Size:20467, Duration(usec):21176
Size:37434, Duration(usec):34506
Size:43493, Duration(usec):40505
Size:42906, Duration(usec):39179
Size:2350160, Duration(usec):1786197
Size:29660, Duration(usec):500737
Size:24263, Duration(usec):564067
Size:16241, Duration(usec):133450
Size:4896, Duration(usec):7610
Size:47151, Duration(usec):42010
Size:2533, Duration(usec):5312
Size:1900720, Duration(usec):1438702
Size:14359471, Duration(usec):10182255
Size:1362685, Duration(usec):7718049
Size:1220, Duration(usec):117299
Size:787690, Duration(usec):3682478
Size:15599975, Duration(usec):17280155
Size:839563, Duration(usec):17266244
Size:71610, Duration(usec):15263382
Size:3112730, Duration(usec):6166708
Size:200191, Duration(usec):14052571
Size:187394, Duration(usec):5091463
Size:535670, Duration(usec):4810667
Size:1035680, Duration(usec):3223422
Size:3816554, Duration(usec):3757668
Size:3912661, Duration(usec):3872723
Size:156035, Duration(usec):117531
Size:9892680, Duration(usec):8058476
Size:1251680, Duration(usec):4639985
Size:16122, Duration(usec):2358736
Size:44024, Duration(usec):39717
Size:1372623, Duration(usec):1086380
Size:43695, Duration(usec):40163
Size:8835, Duration(usec):11172
Size:94825, Duration(usec):77442
Size:732380, Duration(usec):635129
Size:4301314, Duration(usec):3038566
Size:74166, Duration(usec):61604
Size:128290, Duration(usec):100848
Size:148830, Duration(usec):113483
Size:7955677, Duration(usec):6478364
Size:968832, Duration(usec):2572815
Size:8974, Duration(usec):11370
Size:2627196, Duration(usec):1954499
Size:20168, Duration(usec):1163319
Size:2265727, Duration(usec):2537852
Size:11492, Duration(usec):450264
Size:65706, Duration(usec):58863
Size:8156861, Duration(usec):7170347
Size:975666, Duration(usec):1194818
Size:25069, Duration(usec):76271
Size:178239, Duration(usec):357410
Size:79233, Duration(usec):919920
Size:24810, Duration(usec):25073
Size:135467, Duration(usec):103971
Size:56873, Duration(usec):49501
Size:47126, Duration(usec):38146
Size:1178185, Duration(usec):948463
Size:6043, Duration(usec):8802
Size:6287, Duration(usec):8780
Size:69751, Duration(usec):59010
Size:909369, Duration(usec):752791
Size:65492, Duration(usec):55337
Size:73846, Duration(usec):60559
Size:144498, Duration(usec):112370
Size:23750, Duration(usec):21405
Size:8422, Duration(usec):9964
Size:2490, Duration(usec):4709
Size:7847, Duration(usec):10079
Size:3494159, Duration(usec):2672712
Size:9791, Duration(usec):55206
Size:2135, Duration(usec):4644
Size:117305, Duration(usec):91556
Size:56700, Duration(usec):51479
Size:46536, Duration(usec):42245
Size:548226, Duration(usec):478958
Size:64860, Duration(usec):54461
Size:32854, Duration(usec):32419
Size:30543, Duration(usec):30589
Size:39066, Duration(usec):36572
Size:79038, Duration(usec):69772
Size:316696, Duration(usec):262939
Size:13482, Duration(usec):14776
Size:27070, Duration(usec):27372
Size:1935673, Duration(usec):1451184
Size:6454, Duration(usec):267048
Size:23192, Duration(usec):25469
Size:78588, Duration(usec):63798
Size:2189167, Duration(usec):1627178
Size:68301, Duration(usec):55962
Size:1940840, Duration(usec):1432056
Size:4597492, Duration(usec):3280718
Size:28701925, Duration(usec):28106179
Size:18344, Duration(usec):112074
Size:32379, Duration(usec):311546
Size:78474, Duration(usec):24281072
Size:6202, Duration(usec):70607
Size:5089649, Duration(usec):7347420
Size:9271944, Duration(usec):11301830
Size:1880114, Duration(usec):3894837
Size:1170806, Duration(usec):6085647
Size:309725, Duration(usec):1091731
Size:7145, Duration(usec):1090170
Size:4882, Duration(usec):37493
Size:1899585, Duration(usec):4062633
Size:78930, Duration(usec):303643
Size:30365, Duration(usec):734183
Size:172203, Duration(usec):125402
Size:16805548, Duration(usec):19394522
Size:4661102, Duration(usec):7101356
Size:140952, Duration(usec):15463204
Size:76265, Duration(usec):638375
Size:4001133, Duration(usec):7238367
Size:43299, Duration(usec):264216
Size:1815323, Duration(usec):4468507
Size:71308, Duration(usec):4967038
Size:1238540, Duration(usec):5042832
Size:38269, Duration(usec):585953
Size:4312, Duration(usec):3624797
Size:19550, Duration(usec):69845
Size:75875, Duration(usec):153062
Size:3054518, Duration(usec):2331181
Size:1757876, Duration(usec):1625533
Size:115755, Duration(usec):88320
Size:36209, Duration(usec):32830
Size:9709, Duration(usec):11788
Size:3575, Duration(usec):5599
Size:28346, Duration(usec):27447
Size:2810080, Duration(usec):2442973
Size:23133652, Duration(usec):51333442
Size:5398, Duration(usec):50670271
Size:3676131, Duration(usec):6908380
Size:1713347, Duration(usec):4636013
Size:24568049, Duration(usec):38700830
Size:21392, Duration(usec):47232084
Size:80179, Duration(usec):45149417
Size:78807, Duration(usec):43537068
Size:405641, Duration(usec):33169236
Size:7730984, Duration(usec):18908207
Size:7175425, Duration(usec):15247464
Size:1031013, Duration(usec):12616990
Size:88791, Duration(usec):7579541
Size:105277, Duration(usec):13239196
Size:5491, Duration(usec):798645
Size:11825, Duration(usec):37525
Size:1112492, Duration(usec):1313065
Size:34243, Duration(usec):27126
Size:977, Duration(usec):3790
Size:127203, Duration(usec):98128
Size:85857, Duration(usec):66806
Size:1730154, Duration(usec):1267373
Size:48152, Duration(usec):43268
Size:32308, Duration(usec):31067
Size:1494, Duration(usec):4546
Size:22447720, Duration(usec):16591952
Size:925222, Duration(usec):3131319
Size:23164, Duration(usec):122183
Size:202324, Duration(usec):637385
Size:1011922, Duration(usec):2329636
Size:12687199, Duration(usec):9131287
Size:8875, Duration(usec):84263
